"Identificador do processo de viagem";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço"
"0000000000015734788";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"699,20";",49"
"0000000000015734788";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"197,39";",00"
"0000000000015737480";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"Guarulhos";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"116,39";",00"
"0000000000015737480";"Aéreo";"Brasil";"São Paulo";"Guarulhos";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"117,84";",00"
"0000000000015741213";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"Guarulhos";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"817,82";",00"
"0000000000015741213";"Aéreo";"Brasil";"São Paulo";"Guarulhos";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"341,50";",00"
"0000000000015742639";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"Pará";"Santarém";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"853,20";",00"
"0000000000015742639";"Aéreo";"Brasil";"Pará";"Santarém";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"590,47";",00"
"0000000000015745663";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"São Paulo";"Araçatuba";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1590,86";",00"
"0000000000015745663";"Aéreo";"Brasil";"São Paulo";"Araçatuba";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";",00";",00"
